Description,Views,Likes,Comments,Shares,Bookmarks,Post URL
"WE MADE IT 🥳 Playing at providence park this Sunday @3:30 PM!!   ","1230","126","5","0","1","https://www.tiktok.com/@ariana.ramsey/video/7437656067250703659"
"Replying to @Chloe Foust I love this question Chloe thank you!!!! #rugby #fyp ","1316","162","8","2","4","https://www.tiktok.com/@ariana.ramsey/video/7437160800332057902"
"Noah and I have a podcast where we talk sports, relationships, and give overall insight about what we do!! Please go subscribe on youtube link is in the @The Medalist Table Podcast BIO!! ❤️❤️","789","49","1","2","0","https://www.tiktok.com/@ariana.ramsey/video/7437149923360984366"
"You guys asked, and we are delivering!!!! #rugby #fyp @Premier Rugby Sevens ","27600","5650","108","94","82","https://www.tiktok.com/@ariana.ramsey/video/7436878855727795502"
"Literally even my closest family members think that I don’t have a job and that I just play sports and my free time 😂 ##rugby##olympian","1145","94","3","1","0","https://www.tiktok.com/@ariana.ramsey/video/7435402850387201323"
"My phone has been blowing up all morning! Make sure you go vote today!! #KAMALA ","1026","96","2","3","0","https://www.tiktok.com/@ariana.ramsey/video/7433867055864106283"
"DWR FOR LIFEE!! #rugby #olympian #usarugby ","2065","190","1","4","1","https://www.tiktok.com/@ariana.ramsey/video/7433521075629083947"
"Guysss I finally go to meet the new DWR girls and theyre so freaking sweet 😭💚 DWR4lyfeeeeee #rugby #dartmouth","1964","195","4","0","0","https://www.tiktok.com/@ariana.ramsey/video/7433181341497298218"
"GUYS!! Noah and I finally launched our podcast! You can listen on all streaming platforms and on Youtube @themedalisttablepodcast","915","67","1","0","0","https://www.tiktok.com/@ariana.ramsey/video/7431979176107707691"
"An injury did not mean the end for me! I got injured in the Tokyo Olympics, made it to Paris, and now were on the road to 2028!! ❤️❤️ stay tuned gor the journey friends ❤️✨  #aclinjury #rugby #teamusa #usarugby ","1873","227","4","0","2","https://www.tiktok.com/@ariana.ramsey/video/7430578724413705518"
"All my teammates have cool tricks 😂😂 @suglizz ","1287","157","4","1","0","https://www.tiktok.com/@ariana.ramsey/video/7429830174503619886"
"Rugby Workouts! Go get after it today! #rugbyworkouts #rugby ","2029","196","11","2","19","https://www.tiktok.com/@ariana.ramsey/video/7429447591181552938"
