Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
FREE TEAM TONIGHT LAST EVENT 🇺🇸🇺🇸🇺🇸🇺🇸😤😤💪🏼💪🏼#super #final #sports #swim #artisticswimming @Daniella Ramirez @Bob ,22500,1234,2,19,18,https://www.tiktok.com/@call.me.kekes/video/7388839383253765406,7/7/2024 3:30
Acro Hair 🤩 #worldcup #artisticswimming #knox #gel #synchro #olympics #teamusa #swimming #fypシ゚viral @Daniella Ramirez ,16000,1065,6,48,41,https://www.tiktok.com/@call.me.kekes/video/7388592007163251999,7/6/2024 11:30
Olympic team photo shoot 🤩🇺🇸#team #teamusa #olympics #2024 #artswim @rubyrem @Daniella Ramirez ,10100,1136,11,12,49,https://www.tiktok.com/@call.me.kekes/video/7378274748716961054,6/8/2024 16:14
laundry day ☀️🌝#laundry #cleantok #booktok #pizza #trending #fypシ #travel ,3573,103,2,0,2,https://www.tiktok.com/@call.me.kekes/video/7335161798162746667,2/13/2024 10:54
like why they do that #travel #wifi #why #fyp ,3277,108,0,0,1,https://www.tiktok.com/@call.me.kekes/video/7333818990692683054,2/9/2024 20:03
breakfast!!🐣 #worldchampionship #swim #artisticswimming #teamusa #breakfast #fyp #food ,4685,306,2,7,4,https://www.tiktok.com/@call.me.kekes/video/7333495971839577387,2/8/2024 23:09
my little zion ❤️ #cat #rescue #you #fyp #shelter ,2375,33,1,0,2,https://www.tiktok.com/@call.me.kekes/photo/7333269195171466542,2/8/2024 0:00
sauna and ice recovery!! @Daniella Ramirez #restore #icebath #sauna #fypシ #recovery #worlds #doha ,2398,150,3,3,8,https://www.tiktok.com/@call.me.kekes/video/7332922549971455278,2/7/2024 10:04
do competition hair with me! #hair #acrobatics #teamusa #artisticswimming #fypシ #swim #gel ,15700,613,1,2,17,https://www.tiktok.com/@call.me.kekes/video/7331641759564385579,2/3/2024 23:14
pack with me! #doha #swim #artisticswimming #worlds #fypシ #athlete #packing ,17400,1648,10,5,63,https://www.tiktok.com/@call.me.kekes/video/7331344635198967082,2/3/2024 4:01
she da best🤧😘 #besties #roommates #fypシ @Daniella Ramirez ,2286,66,0,2,2,https://www.tiktok.com/@call.me.kekes/video/7330320082893114666,1/31/2024 9:45
waiting for my laundry to finish 🫧 #laundry #fyp #eyes,1615,20,0,0,1,https://www.tiktok.com/@call.me.kekes/video/7305916888914070814,11/26/2023 15:28
nothing like halloween bowling 👻🎃,2077,34,2,0,1,https://www.tiktok.com/@call.me.kekes/video/7295850464707497258,10/30/2023 13:25
"Happy Fall! #fall #foodtok #pasta #recipe #cook #cozyathome #pumpkinseason #fypシ                                                 ———-Recipe———— INGREDIENTS  - 2 cups cherry tomatoes  - 1 tbsp olive oil  - 1/4 cup heavy cream - 1/2 cup chicken broth  - 1 block feta  - 1 tsp salt  - 1/2 tsp pepper - 1/2 tsp basil  - 1/2 tsp oregano  - 1/2 tsp onion powder  - 1 pd spicy (or regular) sausage  - 1/4 cup chopped onion  - 1 large clove minced garlic  - 2 cups spinach  - 1 bag cheese tortellini  - 1/2 cup parmesan DIRECTIONS - Preheat oven to 425 degrees F  - Mix tomatoes, oil, and spices in glass pan - Place block feta in middle  - Add heavy cream and broth  - Bake for 20 min  - Cook sausage over medium heat with onion and oil  - Grill until brown  - Add spinach and garlic, simmer 2-3 min  - Add sausage mix to tomatoes and bake for 5 min  - Cook pasta for 2-3 min and add to glass pan  - Add parm and let cool for 10 min then serve :) ",2328,59,1,4,18,https://www.tiktok.com/@call.me.kekes/video/7284060413203926303,9/28/2023 18:54
its on repeat 😭😭 #ariana #dance #cat #bunny #fyp ,1964,94,0,2,3,https://www.tiktok.com/@call.me.kekes/video/7269204987262045486,8/19/2023 18:07
half corn half flour! #food #fyp #enchiladas ,2360,96,0,1,7,https://www.tiktok.com/@call.me.kekes/video/7269187179321232686,8/19/2023 16:58
#kenough and im great at doing stuff  #beach #ken #barbie #fyp ,3025,152,2,1,8,https://www.tiktok.com/@call.me.kekes/video/7263950279056444715,8/5/2023 14:16
the difference btwn what we eat 😭@Daniella Ramirez #japan #fypシ #competition #worldcup #artswim ,1818,68,2,1,2,https://www.tiktok.com/@call.me.kekes/video/7256623020893097258,7/16/2023 20:23
japanese vitamin c drink! #japan #seveneleven #vitc #drinktok #travel #fypシ #japanesefood ,2533,65,0,2,3,https://www.tiktok.com/@call.me.kekes/video/7254884783900101934,7/12/2023 3:58
sunset in japan ☀️☀️☀️,1184,37,0,0,1,https://www.tiktok.com/@call.me.kekes/video/7254130879633640746,7/10/2023 3:12
can barely get though one tiktok #fyp #japan #trend #wifi @Daniella Ramirez ,4051,169,9,9,5,https://www.tiktok.com/@call.me.kekes/video/7253672736508120362,7/8/2023 21:34
one of those kinda nights… #fyp #catsoftiktok #gbbs #greatbritishbakingshow ,1432,29,0,1,1,https://www.tiktok.com/@call.me.kekes/video/7236085449087946030,5/22/2023 12:07
brunch with my mom! #getreadywithme #fypシ #fyp #birks #brunch ,2022,123,5,1,3,https://www.tiktok.com/@call.me.kekes/video/7235744594045062443,5/21/2023 14:04
#fypシ #catsoftiktok ,1750,172,1,5,5,https://www.tiktok.com/@call.me.kekes/video/7231718264034987310,5/10/2023 17:40
shelter to now ❤️#rescue #rescuecat #adopt #cassi #fypシ ,1009,27,0,0,2,https://www.tiktok.com/@call.me.kekes/video/7228501163480501546,5/2/2023 1:36
fries were good game was bad 😂@landonmlz #fries #game #fyp ,1717,30,2,0,3,https://www.tiktok.com/@call.me.kekes/video/7227923905699204398,4/30/2023 12:16
